"childid","l5cathol","l5public","r5race","w3povrty","w3daded","w3momed","w3inccat","p5fstamp","w3momscr","w3dadscr","p5numpla","p5hmage","p5hdage","c5r2mtsc","w3income","c5r2mtsc_std"
"0429010C",1,2,1,2,7,5,10,2,38.18,63.43,1,37,32,57.521,NA,0.695326557144361
"0429013C",1,2,1,2,8,4,12,-8,48.69,63.43,NA,36,50,59.027,NA,0.84875828314861
"0429015C",1,2,1,2,8,5,10,2,NA,48.69,1,30,34,65.507,NA,1.50894260221071
"0429017C",1,2,1,2,-1,6,8,2,61.56,NA,2,41,NA,53.841,NA,0.320407067306624
"0429018C",1,2,1,2,5,5,12,2,34.95,53.5,1,41,39,66.01,NA,1.56018839117495
"0429019C",1,2,1,2,3,5,12,2,38.18,35.92,1,45,47,52.867,NA,0.221175658855005
"0429020C",1,2,1,2,3,5,12,2,NA,53.5,1,33,35,55.318,NA,0.470884264722476
"0429021C",1,2,1,2,5,6,11,2,38.18,NA,1,43,44,63.796,NA,1.3346254154954
"0429022C",1,2,1,2,9,6,10,2,63.43,61.56,1,40,39,58.577,NA,0.802912149880408
"0429023C",NA,NA,1,2,3,5,8,1,34.95,34.95,1,33,35,47.249,NA,-0.351187844924454
"0429024C",1,2,1,2,6,5,12,2,38.18,35.78,1,36,40,56.82,NA,0.623908469542118
"0430001C",-1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.928,NA,0.431150949223368
"0430002C",-1,1,1,2,5,5,11,2,38.18,48.69,1,37,38,60.788,NA,1.0281694846715
"0430003C",-1,1,1,2,8,6,10,2,NA,62.87,1,54,53,56.238,NA,0.564614137181911
"0430004C",-1,1,1,2,6,6,10,2,53.5,NA,1,32,34,50.576,NA,-0.0122320996282172
"0430005C",-1,1,1,2,3,5,9,-8,57.83,34.95,1,34,33,44.453,NA,-0.636045152964214
"0430006C",-1,1,1,2,5,5,10,2,NA,53.5,1,34,34,43.652,NA,-0.717651270181613
"0430007C",-1,1,1,2,5,2,11,2,NA,53.5,1,46,51,46.512,NA,-0.426273623188154
"0430008C",-1,1,1,2,5,5,11,2,NA,53.5,1,42,38,49.21,NA,-0.151400584171247
"0430009C",-1,1,1,2,-1,4,5,2,38.18,NA,1,40,NA,48.386,NA,-0.235349948200132
"0430010C",-1,1,1,2,6,5,10,2,53.5,53.5,1,32,35,46.298,NA,-0.448076006564587
"0430011C",-1,1,1,2,6,5,11,2,39.18,53.5,1,39,38,54.06,NA,0.342718852163815
"0430014C",-1,1,1,2,5,5,10,2,38.18,34.95,1,44,45,47.8,NA,-0.295051801744946
"0430016C",-1,1,1,2,5,6,10,2,38.18,34.95,1,34,33,58.18,NA,0.762465672308239
"0430017C",-1,1,1,2,5,5,10,2,72.1,37.67,1,43,45,61.787,NA,1.12994790052691
"0430018C",-1,1,1,2,5,3,10,2,38.18,34.95,1,45,41,50.476,NA,-0.0224201292433733
"0430019C",-1,1,1,2,8,5,11,2,NA,53.5,1,35,30,48.661,NA,-0.207332866758453
"0430020C",-1,1,1,2,-1,6,8,2,38.18,NA,1,31,NA,64.635,NA,1.42010298396655
"0430021C",-1,1,1,2,6,5,11,2,38.18,62.87,2,32,33,62.874,NA,1.24069178244366
"0430022C",-1,1,1,2,5,6,11,2,61.56,33.42,1,34,37,42.759,NA,-0.808630374644955
"0430023C",-1,1,1,1,-1,3,4,2,33.42,NA,1,38,NA,52.531,NA,0.186943879348081
"0430024C",-1,1,1,2,-1,5,6,2,53.5,NA,1,37,NA,49.185,NA,-0.153947591575036
"0430025C",-1,1,1,2,4,3,10,2,NA,59,1,45,47,52.948,NA,0.229427962843281
"0430026C",-1,1,1,2,5,5,11,2,NA,53.5,1,42,38,48.499,NA,-0.223837474735005
"0431002C",-1,1,1,2,8,8,10,2,63.43,63.43,1,43,60,50.977,NA,0.0286218991285576
"0431004C",-1,1,1,2,3,-1,8,1,NA,NA,1,NA,30,46.175,NA,-0.46060728299123
"0431005C",-1,1,1,2,3,3,10,2,38.18,53.5,1,41,42,59.697,NA,0.917018081570154
"0431006C",-1,1,1,2,3,-1,9,2,NA,33.42,1,NA,40,52.012,NA,0.134068005645422
"0431007C",-1,1,1,2,2,3,8,2,38.18,53.5,1,30,32,37.738,NA,-1.32017134162193
"0431009C",-1,1,1,2,-1,5,8,2,38.18,NA,1,43,NA,31.755,NA,-1.92972115349671
"0431010C",-1,1,1,2,5,3,7,2,34.95,35.78,1,29,35,48.77,NA,-0.196227914477933
"0431012C",-1,1,1,2,3,3,11,2,38.18,53.5,1,45,43,46.64,NA,-0.413232945280754
"0431013C",-1,1,1,2,5,5,10,2,63.43,34.95,1,34,36,54.083,NA,0.345062098975301
"0431014C",-1,1,1,2,9,8,12,2,33.42,53.5,1,47,47,56.981,NA,0.64031119722252
"0431015C",-1,1,1,2,5,5,7,2,NA,39.18,1,35,37,51.548,NA,0.0867955482310984
"0431016C",-1,1,1,2,3,4,8,2,35.78,39.2,1,33,37,64.491,NA,1.40543222132073
"0431017C",-1,1,1,1,5,6,2,2,35.63,35.63,1,41,42,61.155,NA,1.06555955335913
"0431018C",-1,1,1,2,2,5,10,2,38.18,39.18,1,43,42,63.262,NA,1.28022133735046
"0431020C",-1,1,1,2,5,5,9,2,NA,33.42,2,33,33,50.981,NA,0.0290294203131643
"0431021C",-1,1,1,1,-1,3,3,2,NA,NA,1,34,NA,50.372,NA,-0.0330156800431354
"0431023C",-1,1,1,2,3,5,8,2,63.43,NA,1,33,34,66.122,NA,1.57159898434392
"0431025C",-1,1,1,2,8,8,10,2,63.43,63.43,1,43,60,56.405,NA,0.581628146639221
"0432001C",-1,1,1,2,3,3,9,2,38.18,35.63,1,44,44,51.745,NA,0.106865966572955
"0432002C",-1,1,1,2,5,6,6,2,34.95,38.18,1,34,38,68.359,NA,1.79950520683496
"0432003C",-1,1,1,2,4,5,9,2,38.18,34.95,1,35,33,64.314,NA,1.3873994089019
"0432004C",-1,1,3,2,4,4,6,2,53.5,35.78,1,31,31,59.203,NA,0.866689215271284
"0432005C",-1,1,8,2,5,5,10,2,35.92,53.5,1,40,44,56.011,NA,0.541487309955507
"0432006C",-1,1,1,2,8,3,11,2,NA,53.5,1,45,41,61.631,NA,1.11405457432727
"0432007C",-1,1,1,2,5,5,10,2,NA,39.18,1,45,46,60.786,NA,1.0279657240792
"0432011C",-1,1,1,2,5,3,11,2,38.18,33.42,1,38,34,54.119,NA,0.348729789636757
"0432013C",-1,1,1,2,6,8,11,2,63.43,53.5,1,37,40,61.491,NA,1.09979133286605
"0432014C",-1,1,1,2,3,3,8,2,34.95,35.78,1,42,42,49.189,NA,-0.15354007039043
"0432015C",-1,1,1,2,5,5,9,2,63.43,34.95,1,37,46,59.134,NA,0.859659474836826
"0432016C",-1,1,1,2,3,5,9,2,48.69,39.18,1,34,39,64.074,NA,1.36294813782553
"0432018C",-1,1,1,2,3,3,9,2,34.95,39.2,1,35,36,59.065,NA,0.852629734402368
"0432019C",-1,1,1,2,8,6,10,2,38.18,64.89,1,36,37,72.233,NA,2.1941894741261
"0432020C",-1,1,1,1,3,2,2,1,NA,34.95,1,49,65,53.941,NA,0.33059509692178
"0432021C",-1,1,1,2,5,5,10,2,57.83,61.56,1,38,40,41.145,NA,-0.973065172633572
"0432022C",-1,1,1,2,6,6,11,2,35.78,39.18,1,40,40,52.85,NA,0.219443693820428
"0432023C",-1,1,1,2,6,6,11,2,NA,53.5,2,43,50,55.464,NA,0.485758787960604
"0433001C",-1,1,1,2,6,3,12,2,NA,38.18,1,46,48,59.138,NA,0.860066996021432
"0433004C",-1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.361,NA,0.373384821305434
"0433005C",-1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.766,NA,-0.807917212571895
"0433006C",-1,1,1,2,3,3,9,2,53.5,38.18,1,27,31,51.592,NA,0.0912782812617667
"0433007C",-1,1,1,2,3,4,11,2,38.18,39.18,1,38,40,44.597,NA,-0.62137439031839
"0433008C",-1,1,1,2,8,6,12,2,35.78,48.69,1,41,41,55.057,NA,0.44429350742692
"0433009C",-1,1,1,2,5,5,10,2,61.56,48.69,2,27,27,57.035,NA,0.645812733214703
"0433011C",-1,1,1,2,5,6,11,2,61.56,NA,1,40,41,59.311,NA,0.877692287255652
"0433012C",-1,1,1,2,5,5,10,2,35.78,39.18,1,30,34,67.983,NA,1.76119821548197
"0433013C",-1,1,1,2,-1,5,12,2,53.5,NA,1,38,NA,59.937,NA,0.941469352646528
"0433017C",-1,1,1,2,3,3,7,2,53.5,35.63,1,41,44,39.186,NA,-1.17264867279448
"0434001C",-1,1,1,2,5,6,12,2,61.56,33.42,2,35,37,62.808,NA,1.23396768289765
"0434002C",-1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.509,NA,0.592223697438983
"0434003C",-1,1,1,2,-1,3,4,2,38.18,NA,2,28,NA,39.668,NA,-1.12354237004942
"0434004C",-1,1,1,2,7,5,10,2,38.18,34.95,1,41,50,52.804,NA,0.214757200197457
"0434006C",-1,1,1,2,8,5,9,2,29.6,39.18,2,45,39,56.445,NA,0.585703358485284
"0434007C",-1,1,1,2,3,5,10,2,38.18,33.42,1,43,52,38.775,NA,-1.21452147451277
"0434008C",-1,1,1,2,6,6,9,2,34.95,63.43,1,34,38,61.577,NA,1.10855303833509
"0434009C",-1,1,1,2,3,5,8,-8,57.83,35.92,NA,31,34,55.283,NA,0.467318454357172
"0434010C",-1,1,1,2,1,3,8,2,35.78,33.42,1,37,27,52.325,NA,0.16595653834086
"0434012C",-9,-9,1,1,2,3,2,1,NA,34.95,1,30,26,42.486,NA,-0.836443695494331
"0434015C",-1,1,1,2,5,5,10,2,NA,48.69,1,44,45,48.97,NA,-0.175851855247621
"0434016C",NA,NA,1,1,-1,3,5,1,52.54,NA,1,38,NA,66.625,NA,1.62284477330816
"0434018C",-1,1,1,2,6,6,10,2,NA,62.87,1,48,52,65.271,NA,1.48489885231895
"0434020C",-1,1,1,2,3,5,7,2,38.18,33.42,1,27,30,49.233,NA,-0.149057337359762
"0434021C",-1,1,1,2,4,5,10,2,35.78,39.18,1,29,32,63.085,NA,1.26218852493164
"0434022C",-1,1,1,2,3,-1,9,2,NA,35.78,2,NA,31,57.807,NA,0.724464321843707
"0435001C",1,2,5,2,5,5,8,2,34.95,48.69,1,36,40,56.288,NA,0.569708151989488
"0435004C",1,2,1,2,3,3,10,2,38.18,29.6,1,42,54,50.197,NA,-0.0508447318696579
"0435005C",1,2,1,2,5,5,10,2,38.18,29.6,1,35,39,49.546,NA,-0.117168804664323
"0435006C",1,2,1,2,5,3,5,-8,33.42,34.95,NA,36,45,44.489,NA,-0.632377462302758
"0435009C",1,2,3,2,5,-1,6,2,NA,35.92,1,NA,55,33.32,NA,-1.77027849001952
"0435010C",1,2,1,2,5,5,11,2,34.95,53.5,1,38,44,65.059,NA,1.46330022953481
"0435011C",1,2,1,2,7,5,10,2,38.18,34.95,1,35,41,41.502,NA,-0.936693906907465
"0435013C",1,2,1,2,9,8,12,2,NA,77.5,1,42,41,60.909,NA,1.04049700050584
"0435014C",1,2,1,2,6,6,11,2,NA,53.5,1,41,42,53.958,NA,0.332327061956356
"0435015C",1,2,1,2,5,5,11,2,57.83,34.95,1,36,38,60.267,NA,0.975089850376543
"0435016C",1,2,1,2,6,6,12,2,61.56,53.5,1,37,37,56.879,NA,0.62991940701506
"0435018C",1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.347,NA,1.08512057022023
"0435019C",1,2,1,2,5,5,11,2,38.18,53.5,1,34,37,48.953,NA,-0.177583820282198
"0435020C",1,2,1,2,5,6,10,2,61.56,39.18,1,46,41,36.572,NA,-1.43896376693465
"0435021C",1,2,1,2,3,3,11,2,57.83,39.18,1,42,41,37.701,NA,-1.32394091257954
"0435022C",1,2,1,2,5,5,8,2,61.56,33.42,2,33,35,46.999,NA,-0.376657918962344
"0435023C",1,2,1,2,6,6,11,2,38.18,64.89,1,43,45,46.738,NA,-0.403248676257902
"0435024C",1,2,1,2,8,6,10,2,53.5,53.5,1,40,45,52.37,NA,0.17054115166768
"0435026C",1,2,1,2,6,6,11,2,NA,53.5,1,41,42,51.332,NA,0.0647894042623615
"0436001C",-1,1,1,2,6,5,11,2,63.43,53.5,1,39,39,61.725,NA,1.12363132216552
"0436002C",-1,1,1,2,2,2,9,2,61.56,39.18,1,39,43,50.067,NA,-0.0640891703693609
"0436003C",-1,1,1,2,5,3,10,2,35.78,39.18,1,34,44,46.475,NA,-0.430043194145761
"0436004C",-1,1,1,2,5,5,10,2,53.5,35.78,1,36,45,52.314,NA,0.164835855083193
"0436005C",-1,1,1,2,6,5,10,2,53.5,35.78,2,41,40,49.763,NA,-0.0950607803994351
"0436006C",-1,1,1,2,8,6,10,2,NA,53.5,1,42,42,54.949,NA,0.433290435442551
"0436007C",-1,1,1,2,5,3,6,2,38.18,39.18,2,39,39,49.323,NA,-0.139888110706121
"0436008C",-1,1,1,2,6,3,10,2,38.18,53.5,1,43,57,60.302,NA,0.978655660741847
"0436011C",-1,1,1,2,3,8,12,2,63.43,39.18,1,40,46,66.899,NA,1.65075997445368
"0436012C",-1,1,1,2,5,3,10,2,NA,39.18,1,37,38,59.58,NA,0.905098086920421
"0436013C",-1,1,1,2,6,5,10,2,63.43,34.95,1,32,37,50.359,NA,-0.0343401238931055
"0436015C",-1,1,1,2,6,5,12,2,53.5,53.5,1,42,40,54.064,NA,0.343126373348421
"0436016C",-1,1,1,2,4,3,11,-8,62.87,64.89,1,38,41,37.778,NA,-1.31609612977587
"0437001C",-9,-9,1,2,3,2,6,2,34.95,34.95,1,27,34,55.45,NA,0.484332463814482
"0437014C",-1,1,2,2,4,3,10,2,34.95,38.18,1,37,38,60.686,NA,1.01777769446405
"0439001C",-1,1,5,2,9,8,12,2,64.89,64.89,1,40,40,76.595,NA,2.6385913259392
"0439002C",-1,1,1,2,6,5,9,2,34.95,35.78,1,39,40,52.844,NA,0.218832412043519
"0439004C",-1,1,1,2,-1,5,6,2,38.18,NA,1,39,NA,55.032,NA,0.44174650002313
"0439006C",-1,1,1,2,5,8,12,2,63.43,39.2,1,34,36,60.776,NA,1.02694692111769
"0439007C",-1,1,1,2,8,6,12,2,NA,53.5,2,38,42,50.752,NA,0.00569883249445738
"0439008C",-1,1,1,2,6,6,11,2,35.78,53.5,1,42,43,70.22,NA,1.98910443797301
"0439009C",-1,1,1,2,6,6,10,2,NA,53.5,1,37,38,61.694,NA,1.12047303298482
"0439010C",-1,1,1,2,6,6,13,2,NA,53.5,1,38,42,52.122,NA,0.145274838222093
"0439011C",-1,1,1,2,4,5,12,2,38.18,52.54,1,44,47,47.574,NA,-0.318076748675198
"0439012C",-1,1,1,2,4,4,10,2,48.69,39.18,1,39,38,57.828,NA,0.72660380806289
"0439013C",-1,1,1,2,5,6,10,2,34.95,64.89,1,38,38,63.302,NA,1.28429654919653
"0439014C",-1,1,1,2,5,-1,10,2,NA,35.78,1,NA,41,54.329,NA,0.370124651828584
"0439015C",-1,1,1,2,6,5,6,2,NA,35.78,1,36,41,47.345,NA,-0.341407336493905
"0439017C",-1,1,1,2,8,6,12,2,53.5,59,1,36,40,66.519,NA,1.61204546191609
"0439018C",1,2,1,2,5,7,10,2,NA,53.5,1,42,43,57.651,NA,0.708570995644064
"0439019C",-1,1,1,2,3,5,12,2,38.18,35.78,1,40,40,47.478,NA,-0.327857257105747
"0439021C",2,2,1,2,8,8,12,2,53.5,64.89,1,41,44,68.857,NA,1.85024159431844
"0439023C",-1,1,1,2,8,6,10,2,53.5,35.78,1,43,43,59.401,NA,0.886861513909293
"0440002C",-1,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.925,NA,0.227084716031795
"0440003C",-1,1,5,2,6,-1,9,2,NA,48.69,1,NA,49,39.253,NA,-1.16582269295232
"0440004C",-1,1,5,1,-1,1,3,2,33.42,NA,1,37,NA,36.257,NA,-1.47105606022239
"0440005C",-1,1,6,2,4,5,10,2,NA,39.18,1,32,42,44.251,NA,-0.656624972786829
"0440006C",-1,1,5,2,5,4,11,2,38.18,38.18,1,37,38,48.676,NA,-0.20580466231618
"0440007C",-9,-9,1,2,6,6,9,2,NA,38.18,1,39,41,59.255,NA,0.871986990671165
"0440008C",-1,1,1,2,5,6,11,2,53.5,48.69,1,40,44,59.612,NA,0.908358256397272
"0440012C",-1,1,1,2,-1,6,9,2,38.18,NA,1,39,NA,44.412,NA,-0.640222245106428
"0440013C",-1,1,1,2,5,6,11,2,NA,35.78,1,32,34,53.263,NA,0.261520256131022
"0440014C",-1,1,7,2,6,6,12,2,53.5,53.5,1,37,37,56.03,NA,0.543423035582387
"0440016C",-9,-9,7,2,5,6,12,2,35.78,53.5,2,41,43,58.477,NA,0.792724120265252
"0440017C",-1,1,1,2,6,5,10,2,38.18,35.78,1,40,41,53.887,NA,0.325093560929595
"0440019C",-1,1,1,2,6,6,12,2,NA,53.5,1,44,47,46.056,NA,-0.472731038233265
"0440020C",1,2,1,2,5,6,11,2,63.43,62.87,1,42,40,60.35,NA,0.983545914957122
"0440022C",-1,1,1,2,8,8,9,2,NA,53.5,1,42,43,69.521,NA,1.91789011096307
"0440023C",-1,1,1,2,4,3,10,2,38.18,63.43,1,38,37,52.335,NA,0.166975341302375
"0440024C",-1,1,8,2,-1,3,5,2,57.83,NA,2,29,NA,55.748,NA,0.514692792067647
"0441001C",-1,1,1,2,4,3,10,2,53.5,38.18,1,28,33,58.489,NA,0.79394668381907
"0441002C",-1,1,1,2,-1,3,4,2,NA,NA,1,28,NA,46.796,NA,-0.397339619081111
"0441003C",-1,1,1,2,5,5,10,2,38.18,53.5,2,34,35,48.786,NA,-0.194597829739508
"0441006C",-1,1,1,2,6,3,11,2,48.69,35.78,1,42,44,46.283,NA,-0.449604211006861
"0441007C",-1,1,1,2,5,3,11,2,NA,53.5,1,34,38,54.035,NA,0.340171844760026
"0441010C",-1,1,1,1,-1,3,3,1,38.18,NA,1,27,NA,54.196,NA,0.356574572440427
"0441012C",-1,1,4,2,2,1,10,2,33.42,29.6,1,35,36,50.501,NA,-0.0198731218395845
"0441013C",-1,1,1,2,5,5,12,2,35.78,38.18,2,37,38,59.72,NA,0.91936132838164
"0441014C",-1,1,8,2,7,7,9,2,63.43,64.89,1,41,51,49.425,NA,-0.129496320498662
"0441015C",-1,1,1,2,6,5,10,2,57.83,52.54,1,37,40,65.378,NA,1.49580004400716
"0441018C",-1,1,1,2,4,6,11,2,61.56,39.2,1,42,55,45.59,NA,-0.520207256239891
"0441019C",-1,1,1,2,3,5,11,2,37.67,37.67,1,33,45,49.648,NA,-0.106777014456864
"0441020C",-1,1,1,2,8,6,10,2,77.5,63.43,1,32,32,59.153,NA,0.861595200463706
"0441021C",-1,1,1,2,4,3,10,2,38.18,39.18,1,36,37,52.742,NA,0.20844062183606
"0441022C",-1,1,1,2,4,5,11,2,38.18,39.2,1,38,39,55.208,NA,0.459677432145805
"0441023C",-1,1,1,2,-1,5,7,2,48.69,NA,3,31,NA,55.806,NA,0.520601849244437
"0441024C",-1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.981,NA,-0.582252356596191
"0442001C",NA,NA,5,2,5,3,8,2,33.42,33.42,1,33,38,49.654,NA,-0.106165732679955
"0442002C",NA,NA,7,2,4,7,10,2,61.56,33.42,1,39,42,57.895,NA,0.733429787905045
"0442003C",NA,NA,7,2,6,6,12,2,64.89,64.89,1,44,47,58.785,NA,0.824103251479932
"0442004C",NA,NA,7,2,6,6,10,2,63.43,53.5,1,41,41,57.909,NA,0.734856112051166
"0442005C",NA,NA,1,2,-1,6,10,2,48.69,NA,1,40,NA,66.131,NA,1.57251590700929
"0442006C",NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.462,NA,0.791195915822979
"0442009C",NA,NA,1,2,6,6,11,2,38.18,64.89,1,42,45,66.792,NA,1.63985878276547
"0442010C",NA,NA,1,2,-1,6,9,2,61.56,NA,1,42,NA,39.764,NA,-1.11376186161887
"0442011C",NA,NA,7,2,9,5,12,2,38.18,72.1,1,39,43,49.84,NA,-0.0872159975957645
"0442012C",NA,NA,7,2,4,4,9,2,34.95,48.69,1,35,38,58.23,NA,0.767559687115816
"0442014C",NA,NA,7,2,5,5,10,2,35.78,35.78,1,34,37,54.966,NA,0.435022400477128
"0442015C",NA,NA,7,2,4,4,11,2,34.95,53.5,1,43,47,56.572,NA,0.598642156096532
"0442016C",NA,NA,7,2,5,3,11,2,53.5,53.5,1,37,38,48.884,NA,-0.184613560716655
"0442017C",NA,NA,7,2,8,6,11,2,72.1,53.5,1,36,36,69.848,NA,1.95120496780463
"0442018C",NA,NA,1,2,6,9,12,2,59,53.5,1,43,45,54.271,NA,0.364215594651794
"0442019C",NA,NA,7,2,5,3,10,2,38.18,35.92,1,40,42,67.837,NA,1.74632369224385
"0442020C",NA,NA,7,2,3,6,12,2,48.69,39.18,1,40,40,59.509,NA,0.897864585893661
"0442021C",NA,NA,7,2,7,5,10,2,53.5,38.18,1,39,43,57.655,NA,0.70897851682867
"0442023C",NA,NA,1,2,5,6,10,2,NA,35.78,1,35,35,59.933,NA,0.941061831461922
"0442024C",NA,NA,7,2,4,3,10,2,34.95,53.5,1,41,42,42.234,NA,-0.862117530124524
"0443001C",-1,1,1,2,6,6,10,2,38.18,53.5,1,46,48,55.047,NA,0.443274704465404
"0443003C",-1,1,1,2,8,6,10,2,61.56,72.1,1,40,42,52.854,NA,0.219851215005034
"0443004C",-9,-9,1,2,8,8,11,2,35.78,64.89,2,48,44,68.173,NA,1.78055547175077
"0443005C",-1,1,1,2,5,6,11,2,61.56,35.78,1,46,47,62.718,NA,1.22479845624401
"0443006C",-1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.73,NA,-1.01534549553647
"0443007C",-1,1,8,1,-1,3,4,1,35.78,NA,3,33,NA,51.242,NA,0.0556201776087209
"0443008C",-1,1,1,2,-1,3,5,2,57.83,NA,1,32,NA,53.484,NA,0.284035801580517
"0443009C",-1,1,1,2,9,6,10,2,38.18,59,1,38,40,73.097,NA,2.28221405000105
"0443010C",1,2,1,2,6,6,10,2,38.18,33.42,1,44,46,56.52,NA,0.593344380696651
"0443011C",NA,NA,2,2,-1,6,10,2,53.5,NA,2,31,NA,52.961,NA,0.230752406693251
"0443012C",-1,1,1,2,9,6,11,2,52.54,72.1,1,44,45,59.505,NA,0.897457064709055
"0443013C",-1,1,2,1,-1,2,5,1,34.95,NA,1,32,NA,44.589,NA,-0.622189432687602
"0443015C",-1,1,1,2,-1,6,6,2,61.56,NA,1,49,NA,57.726,NA,0.716212017855431
"0443016C",-1,1,1,2,5,5,12,2,NA,53.5,1,34,36,58.731,NA,0.818601715487748
"0443017C",-1,1,1,2,9,-1,12,2,NA,59,1,NA,46,52.258,NA,0.159130558498706
"0443019C",-1,1,1,2,8,4,11,2,63.43,33.42,1,43,44,57.903,NA,0.734244830274257
"0443020C",-1,1,1,2,6,5,11,2,34.95,33.42,1,43,44,64.954,NA,1.4526027984389
"0443021C",-1,1,1,2,-1,7,10,2,53.5,NA,1,50,NA,57.01,NA,0.643265725810914
"0443023C",-1,1,1,2,6,6,11,2,53.5,48.69,1,39,46,60.281,NA,0.976516174522664
"0443024C",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.314,NA,0.47047674353787
"0444001C",-1,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.76,NA,-2.33673293662219
"0444002C",-1,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.181,NA,0.456926664149713
"0444003C",-1,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.91,NA,-1.09888733838075
"0444004C",-1,1,5,2,6,3,9,2,33.42,33.42,2,26,32,47.768,NA,-0.298311971221795
"0444006C",-1,1,5,1,4,1,3,1,NA,NA,1,40,39,61.573,NA,1.10814551715048
"0444008C",-1,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.224,NA,-0.965016629237599
"0444009C",-1,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.915,NA,-1.20025823305155
"0444010C",-1,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.012,NA,-0.171572882809256
"0444012C",-1,1,5,1,1,3,3,1,34.95,NA,1,33,61,43.663,NA,-0.716530586923946
"0444014C",-1,1,5,1,5,4,2,1,29.6,NA,1,32,37,55.723,NA,0.512145784663858
"0444016C",-1,1,5,1,3,2,6,2,33.42,33.42,1,31,27,42.905,NA,-0.793755851406828
"0444017C",-1,1,5,1,4,4,6,2,33.42,NA,1,33,34,39.134,NA,-1.17794644819436
"0444019C",-1,1,2,2,-1,3,5,2,34.95,NA,1,37,NA,48.505,NA,-0.223226192958096
"0444023C",-1,1,1,2,5,8,10,2,38.18,34.95,1,47,42,58.062,NA,0.750443797362355
"0445001C",-1,1,1,2,6,5,12,2,NA,53.5,1,42,39,75.506,NA,2.52764368343015
"0445002C",NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.457,NA,-1.1450391125374
"0445003C",-1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.053,NA,0.240125393939195
"0445005C",-1,1,1,1,3,3,3,2,33.42,39.2,1,37,32,37.65,NA,-1.32913680768327
"0445006C",-1,1,1,2,3,6,10,2,35.78,35.78,1,37,36,43.907,NA,-0.691671794662966
"0445007C",-1,1,1,2,6,6,11,2,NA,35.78,1,37,35,56.77,NA,0.618814454734541
"0445008C",NA,NA,1,2,5,4,9,2,NA,35.92,1,43,44,38.093,NA,-1.28400383648813
"0445009C",-1,1,1,2,4,6,11,2,38.18,35.63,1,35,36,58.869,NA,0.832661196356663
"0445010C",-1,1,1,2,3,3,10,2,38.18,33.42,1,41,40,51.448,NA,0.0766075186159424
"0445011C",-1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.753,NA,0.413321897396845
"0445012C",-1,1,1,1,-1,5,6,2,35.92,NA,1,36,NA,47.428,NA,-0.332951271913326
"0445014C",-1,1,1,2,2,5,10,2,35.78,53.5,1,34,36,54.788,NA,0.41688770776215
"0445015C",-1,1,1,2,4,3,6,2,35.78,34.95,1,40,41,67.618,NA,1.72401190738665
"0445016C",-1,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.484,NA,0.691556986186754
"0445018C",-1,1,1,2,-1,5,8,2,38.18,NA,1,42,NA,44.921,NA,-0.588365174365285
"0445022C",-9,-9,1,2,5,3,10,2,38.18,39.2,1,33,32,46.94,NA,-0.382668856435287
"0445023C",-1,1,1,2,4,5,11,2,53.5,33.42,1,29,31,52.443,NA,0.177978413286743
"0447001C",-1,1,1,2,6,6,9,2,NA,48.69,1,36,39,47.401,NA,-0.335702039909417
"0447002C",-1,1,1,2,4,4,11,2,35.78,39.2,1,38,44,46.116,NA,-0.466618220464171
"0447007C",-1,1,1,2,5,5,12,2,38.18,52.54,1,37,40,54.137,NA,0.350563634967485
"0447009C",-1,1,1,2,5,3,10,2,38.18,39.18,1,42,44,47.049,NA,-0.371563904154767
"0447011C",-1,1,1,2,6,6,11,2,35.78,62.87,1,37,38,58.335,NA,0.778257118211731
"0447013C",-1,1,1,2,-1,5,5,2,35.78,NA,1,47,NA,61.295,NA,1.07982279482035
"0447015C",-1,1,1,2,3,3,10,1,38.18,48.69,1,43,39,44.514,NA,-0.629830454898969
"0447017C",-1,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.817,NA,0.827363420956782
"0447019C",-1,1,1,2,3,3,9,2,38.18,29.6,1,30,30,49.725,NA,-0.098932231653194
